Version,Inertia Factor,Price Sensitivity Mean,Price Sensitivity Std,Smoothing Factor,Market Prices,Market Quantities,Max Reward,Competitor 1 Profit,Competitor 2 Profit,Competitor 3 Profit
Inertia ,0.65,0.2,0.01,0.01,"472, 436, 395","1062, 1052, 886",1309906,704014.2349,321722.0809,284169.6842
Inertia ,0.65,0.2,0.01,0.05,"444, 410, 379","1035, 1046, 919",1236701,735925.4333,344442.9897,156332.577
Inertia ,0.65,0.2,0.05,0.01,"474, 335, 331","1062, 1063, 875",1149118,658673.7414,252768.4737,237675.7848
Inertia ,0.65,0.2,0.05,0.05,"480, 358, 319","1087, 1016, 897",1171631,655956.1838,294575.5009,221099.3152
Inertia ,0.65,0.3,0.01,0.01,"459, 318, 313","890, 1060, 1050",1074240,553880.1464,278487.5426,241872.3109
Inertia ,0.65,0.3,0.01,0.05,"497, 451, 328","886, 1061, 1053",1264237,651839.9044,258719.833,353677.2625
Inertia ,0.65,0.3,0.05,0.01,"454, 394, 384","932, 1022, 1046",1227460,620859.5311,320065.7004,286534.7685
Inertia ,0.65,0.3,0.05,0.05,"474, 451, 418","885, 1051, 1064",1338243,785036.9164,290468.8715,262737.2121
Inertia ,0.75,0.2,0.01,0.01,"492, 485, 396","1024, 1077, 899",1382157,774162.0321,285422.5515,322572.4164
Inertia ,0.75,0.2,0.01,0.05,"483, 404, 392","1033, 1067, 900",1282807,732235.5459,378285.1009,172286.3531
Inertia ,0.75,0.2,0.05,0.01,"402, 395, 382","1040, 1091, 869",1180983,592922.4938,350236.1015,237824.4047
Inertia ,0.75,0.2,0.05,0.05,"461, 460, 427","1033, 1052, 915",1350838,806438.1085,379368.9857,165030.9058
Inertia ,0.75,0.3,0.01,0.01,"358, 356, 327","878, 1061, 1061",1038987,605983.2082,239446.3746,193557.4172
Inertia ,0.75,0.3,0.01,0.05,"435, 339, 308","924, 1031, 1045",1073309,559445.0479,225145.0359,288718.9162
Inertia ,0.75,0.3,0.05,0.01,"478, 454, 362","947, 1048, 1005",1292268,669630.6587,346874.8445,275762.4969
Inertia ,0.75,0.3,0.05,0.05,"489, 415, 343","914, 1066, 1020",1239196,642325.4135,302382.721,294487.8655
Inertia ,0.85,0.2,0.01,0.01,"433, 318, 307","1052, 1025, 923",1064827,564810.0355,225960.3607,274056.6038
Inertia ,0.85,0.2,0.01,0.05,"466, 338, 332","1016, 1074, 910",1138588,629042.1376,284097.8488,225448.0136
Inertia ,0.85,0.2,0.05,0.01,"420, 335, 328","1027, 1081, 892",1086051,589936.9319,220944.9688,275169.0993
Inertia ,0.85,0.2,0.05,0.05,"448, 374, 353","1063, 1031, 906",1181636,625230.6836,343775.7723,212629.5441
Inertia ,0.85,0.3,0.01,0.01,"476, 444, 392","923, 1038, 1039",1307508,733754.2555,295337.2896,278416.4549
Inertia ,0.85,0.3,0.01,0.05,"489, 479, 473","856, 1091, 1053",1439242,739697.5423,383201.3898,316343.0679
Inertia ,0.85,0.3,0.05,0.01,"459, 359, 337","887, 1050, 1063",1142314,604529.0922,264069.9926,273714.9152
Inertia ,0.85,0.3,0.05,0.05,"460, 378, 303","859, 1082, 1059",1125013,603722.6836,283510.9285,237779.3879
Changing Inertia,0.65,0.2,0.01,0.01,"457, 414, 401","1040, 1077, 883",1275241,707339.2363,255752.403,312149.3606
Changing Inertia,0.65,0.2,0.01,0.05,"428, 419, 345","1061, 1047, 892",1200541,622463.0353,338007.6879,240070.2768
Changing Inertia,0.65,0.2,0.05,0.01,"479, 342, 314","1083, 1054, 863",1150207,686625.8026,311344.6265,152236.5709
Changing Inertia,0.65,0.2,0.05,0.05,"495, 477, 441","1058, 1057, 885",1418184,819020.0968,387023.4302,212140.473
Changing Inertia,0.65,0.3,0.01,0.01,"441, 440, 412","916, 1027, 1057",1291320,766979.3773,357859.6824,166480.9403
Changing Inertia,0.65,0.3,0.01,0.05,"458, 376, 347","880, 1050, 1070",1169130,689181.95,242482.7824,237465.2676
Changing Inertia,0.65,0.3,0.05,0.01,"476, 454, 415","890, 1103, 1007",1342307,751410.0327,316578.5057,274318.4616
Changing Inertia,0.65,0.3,0.05,0.05,"411, 380, 331","871, 1091, 1038",1116139,660963.4787,236160.3976,219015.1237
Changing Inertia,0.75,0.2,0.01,0.01,"372, 361, 309","1045, 1046, 909",1047227,532880.6737,299831.9211,214514.4051
Changing Inertia,0.75,0.2,0.01,0.05,"467, 398, 377","1053, 1031, 916",1247421,648157.8138,327235.7173,272027.4689
Changing Inertia,0.75,0.2,0.05,0.01,"382, 310, 302","1092, 1033, 875",1001624,505342.0738,233468.3403,262813.5859
Changing Inertia,0.75,0.2,0.05,0.05,"398, 381, 345","1076, 1026, 898",1128964,601210.6232,232968.3089,294785.0679
Changing Inertia,0.75,0.3,0.01,0.01,"483, 410, 381","942, 1034, 1024",1269070,683860.8688,293279.8335,291929.2977
Changing Inertia,0.75,0.3,0.01,0.05,"472, 418, 415","875, 1039, 1086",1297992,684216.8872,301806.9351,311968.1777
Changing Inertia,0.75,0.3,0.05,0.01,"441, 321, 321","887, 1048, 1065",1069440,623348.5042,291915.0031,154176.4927
Changing Inertia,0.75,0.3,0.05,0.05,"485, 328, 302","863, 1055, 1082",1091359,584614.0954,287852.2084,218892.6962
Changing Inertia,0.85,0.2,0.01,0.01,"458, 451, 328","1049, 1109, 842",1256777,663695.703,362858.2569,230223.0401
Changing Inertia,0.85,0.2,0.01,0.05,"461, 317, 314","1060, 1032, 908",1100916,610204.2801,272170.0967,218541.6232
Changing Inertia,0.85,0.2,0.05,0.01,"362, 336, 323","1062, 1038, 900",1023912,526385.4005,217027.7984,280498.8011
Changing Inertia,0.85,0.2,0.05,0.05,"465, 357, 317","1061, 1053, 886",1150148,667338.5253,312063.3066,170746.1681
Changing Inertia,0.85,0.3,0.01,0.01,"430, 390, 388","880, 1057, 1063",1203074,610505.9941,332142.8712,260425.1347
Changing Inertia,0.85,0.3,0.01,0.05,"494, 420, 339","876, 1060, 1064",1238640,741559.7635,317250.0388,179830.1977
Changing Inertia,0.85,0.3,0.05,0.01,"439, 420, 373","903, 1055, 1042",1228183,708937.2897,340325.4784,178920.2319
Changing Inertia,0.85,0.3,0.05,0.05,"452, 419, 302","916, 1002, 1082",1160634,603380.6176,289438.3958,267814.9865